DateTime,Waterford,Galway,Donegal,Tipperary,Cork,Limerick,Longford,Roscommon,Kerry,Wexford,Clare,Kilkenny,Mayo,Cavan,Kildare,Meath,Westmeath,Wicklow,Laois,Sligo,Dublin,Offaly,Louth,Carlow,Leitrim,Monaghan
2017-11-24 19:15:40,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,2,2,1.569,2,0.919,0,2,2,2,2,1.869,1.769
2017-11-24 19:20:34,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.56,1.59,1.569,1.58,0.919,0,1.59,2,1,1.56,1.869,1.769
2017-11-24 19:21:51,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.56,1.59,1.569,1.58,0.919,0,1.59,2,1,1.56,1.869,1.769
2017-11-24 19:23:02,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.56,1.59,1.569,1.58,0.919,0,1.59,2,1,1.56,1.869,1.769
2017-11-24 19:24:15,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.56,1.59,1.569,1.58,0.919,0,1.59,2,1,1.56,1.869,1.769
2017-11-24 19:25:31,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.56,1.59,1.569,1.58,0.919,0,1.59,2,1,1.56,1.869,1.769
2017-11-24 19:26:46,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:28:08,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:29:25,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:30:38,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:31:53,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:33:09,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:34:22,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:35:45,2,3,5.519,0.844,5.744,2.5,0,0,3,2,3,0.919,0,1.769,1.57,1.6,1.569,1.59,0.919,0,1.6,2,1,1.57,1.869,1.769
2017-11-24 19:37:00,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:38:13,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:39:30,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:40:46,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:42:01,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:43:18,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:44:30,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:45:44,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:46:57,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:48:15,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:49:28,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:50:38,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 19:51:55,2,2,5.298,-1.027,5.823,2,0,0,2,1,2,-1.152,0,1.348,1,1,0.123,1,-1.152,0,1,1,1,1,2.323,1.348
2017-11-24 23:52:46,1.0,3.0,5.391999999999996,-0.3079999999999927,6.217000000000041,2.0,2.7420000000000186,3.2170000000000414,3.0,0.0,3.0,-1.20799999999997,4.067000000000007,1.9420000000000073,0.0,0.0,0.49200000000001864,0.0,-1.20799999999997,3.2170000000000414,0.0,0.0,0.0,0.0,2.7420000000000186,1.9420000000000073
2017-11-25 18:48:06,3.0,5.0,7.6650000000000205,2.640000000000043,6.965000000000032,4.0,3.0,3.0,5.0,2.0,5.0,2.6899999999999977,3.0,5.0400000000000205,2.0,2.0,4.115000000000009,2.0,2.6899999999999977,3.0,2.0,2.0,2.0,2.0,5.640000000000043,5.0400000000000205
2017-11-25 19:48:10,3.0,4.0,7.761000000000024,0.9110000000000014,6.911000000000001,3.5,3.0,3.0,4.0,2.0,4.0,0.8110000000000355,3.0,4.961000000000013,2.0,2.0,3.0860000000000127,2.0,0.8110000000000355,3.0,2.0,2.0,2.0,2.0,5.586000000000013,4.961000000000013
2017-11-25 20:56:00,4.0,5.0,7.761000000000024,0.9110000000000014,6.911000000000001,4.5,2.0,2.0,5.0,2.0,5.0,0.8110000000000355,2.0,4.961000000000013,2.0,2.0,3.0860000000000127,2.0,0.8110000000000355,2.0,2.0,2.0,2.0,2.0,5.586000000000013,4.961000000000013
2017-11-25 23:53:54,3.0,5.0,7.920000000000016,0.7700000000000387,6.970000000000027,4.0,5.645000000000039,5.395000000000039,5.0,1.0,5.0,0.09500000000002728,5.645000000000039,5.1200000000000045,1.5300000000000296,1.5,3.045000000000016,1.5200000000000387,0.09500000000002728,5.395000000000039,1.4800000000000182,1.0,2.0,1.5300000000000296,5.645000000000039,5.1200000000000045
2017-11-26 00:54:16,2.0,4.0,7.920000000000016,0.7700000000000387,6.970000000000027,3.0,5.645000000000039,5.395000000000039,4.0,1.0,4.0,0.09500000000002728,5.645000000000039,5.1200000000000045,1.5300000000000296,1.5,3.045000000000016,1.5200000000000387,0.09500000000002728,5.395000000000039,1.4800000000000182,1.0,2.0,1.5300000000000296,5.645000000000039,5.1200000000000045
2017-11-26 01:54:31,3.0,5.0,8.137,1.2620000000000005,7.3870000000000005,4.0,5.837000000000046,5.487000000000023,5.0,2.0,5.0,0.13700000000000045,5.912000000000035,5.3870000000000005,2.0,2.0,2.837000000000046,2.0,0.13700000000000045,5.487000000000023,2.0,2.0,2.0,2.0,5.837000000000046,5.3870000000000005
2017-11-26 02:54:51,3.0,5.0,8.137,1.2620000000000005,7.3870000000000005,4.0,5.837000000000046,5.487000000000023,5.0,2.0,5.0,0.13700000000000045,5.912000000000035,5.3870000000000005,2.0,2.0,2.837000000000046,2.0,0.13700000000000045,5.487000000000023,2.0,2.0,2.0,2.0,5.837000000000046,5.3870000000000005
2017-11-26 03:24:05,3.0,5.0,8.137,1.2620000000000005,7.3870000000000005,4.0,5.837000000000046,5.487000000000023,5.0,2.0,5.0,0.13700000000000045,5.912000000000035,5.3870000000000005,2.0,2.0,2.837000000000046,2.0,0.13700000000000045,5.487000000000023,2.0,2.0,2.0,2.0,5.837000000000046,5.3870000000000005
2017-11-26 03:55:16,3.0,4.0,8.137,1.2620000000000005,7.3870000000000005,3.5,5.837000000000046,5.487000000000023,4.0,2.0,4.0,0.13700000000000045,5.912000000000035,5.3870000000000005,2.0,2.0,2.837000000000046,2.0,0.13700000000000045,5.487000000000023,2.0,2.0,2.0,2.0,5.837000000000046,5.3870000000000005
2017-11-26 04:55:30,4.0,4.0,8.384000000000015,2.334000000000003,7.859000000000037,4.0,5.934000000000026,5.609000000000037,4.0,2.0,4.0,0.6340000000000146,6.084000000000003,5.6340000000000146,2.0,2.0,3.0090000000000146,2.0,0.6340000000000146,5.609000000000037,2.0,2.0,2.0,2.0,5.934000000000026,5.6340000000000146
2017-11-26 05:55:43,4.0,5.0,8.384000000000015,2.334000000000003,7.859000000000037,4.5,5.934000000000026,5.609000000000037,5.0,2.0,5.0,0.6340000000000146,6.084000000000003,5.6340000000000146,2.0,2.0,3.0090000000000146,2.0,0.6340000000000146,5.609000000000037,2.0,2.0,2.0,2.0,5.934000000000026,5.6340000000000146
2017-11-26 06:55:55,4.0,5.0,8.384000000000015,2.334000000000003,7.859000000000037,4.5,5.934000000000026,5.609000000000037,5.0,2.0,5.0,0.6340000000000146,6.084000000000003,5.6340000000000146,2.5300000000000296,2.5,3.0090000000000146,2.5200000000000387,0.6340000000000146,5.609000000000037,2.480000000000018,2.0,3.0,2.5300000000000296,5.934000000000026,5.6340000000000146
2017-11-26 07:56:16,4.0,6.0,7.962000000000046,3.3870000000000005,7.587000000000046,5.0,3.0,3.0,6.0,2.0,6.0,2.087000000000046,3.0,5.537000000000035,2.0,2.0,3.3870000000000005,2.0,2.087000000000046,3.0,2.0,2.0,2.0,2.0,5.3870000000000005,5.537000000000035
2017-11-26 08:56:29,4.0,6.0,7.477000000000032,2.6270000000000095,7.152000000000044,5.0,3.0,3.0,6.0,3.0,6.0,1.1520000000000437,3.0,3.7770000000000437,2.4700000000000273,2.5,2.1520000000000437,2.480000000000018,1.1520000000000437,3.0,2.5200000000000387,3.0,2.0,2.4700000000000273,4.052000000000021,3.7770000000000437
2017-11-26 09:57:01,4.0,6.0,7.477000000000032,2.6270000000000095,7.152000000000044,5.0,3.0,3.0,6.0,3.0,6.0,1.1520000000000437,3.0,3.7770000000000437,3.0,3.0,2.1520000000000437,3.0,1.1520000000000437,3.0,3.0,3.0,3.0,3.0,4.052000000000021,3.7770000000000437
2017-11-26 10:57:20,5.0,7.0,7.845000000000027,5.720000000000027,8.645000000000039,6.0,3.0,3.0,7.0,4.0,7.0,5.220000000000027,3.0,5.795000000000016,3.4700000000000273,3.5100000000000477,5.795000000000016,3.480000000000018,5.220000000000027,3.0,3.5200000000000387,4.0,3.0,3.4700000000000273,6.020000000000039,5.795000000000016
2017-11-26 11:57:46,6.0,7.0,7.845000000000027,5.720000000000027,8.645000000000039,6.5,5.0,5.0,7.0,4.0,7.0,5.220000000000027,5.0,5.795000000000016,4.0,4.0,5.795000000000016,4.0,5.220000000000027,5.0,4.0,4.0,4.0,4.0,6.020000000000039,5.795000000000016
2017-11-26 12:58:01,6.0,7.0,7.845000000000027,5.720000000000027,8.645000000000039,6.5,5.0,5.0,7.0,6.0,7.0,5.220000000000027,5.0,5.795000000000016,6.0,6.0,5.795000000000016,6.0,5.220000000000027,5.0,6.0,6.0,6.0,6.0,6.020000000000039,5.795000000000016
2017-11-26 13:58:22,7.0,7.0,8.638000000000034,6.163000000000011,9.563000000000045,7.0,6.0,6.0,7.0,6.0,7.0,5.888000000000034,6.0,6.663000000000011,6.0,6.0,6.538000000000011,6.0,5.888000000000034,6.0,6.0,6.0,6.0,6.0,7.088000000000022,6.663000000000011
2017-11-26 15:08:54,9.0,10.0,8.638000000000034,6.163000000000011,9.563000000000045,9.5,7.0,7.0,10.0,6.0,10.0,5.888000000000034,7.0,6.663000000000011,6.0,6.0,6.538000000000011,6.0,5.888000000000034,7.0,6.0,6.0,6.0,6.0,7.088000000000022,6.663000000000011
2017-11-26 16:09:07,9.0,10.0,8.638000000000034,6.163000000000011,9.563000000000045,9.5,8.0,8.0,10.0,6.0,10.0,5.888000000000034,8.0,6.663000000000011,6.0,6.0,6.538000000000011,6.0,5.888000000000034,8.0,6.0,6.0,6.0,6.0,7.088000000000022,6.663000000000011
2017-11-26 17:09:37,9.0,10.0,9.540999999999997,7.566000000000031,10.415999999999997,9.5,8.0,8.0,10.0,6.0,10.0,6.691000000000031,8.0,7.290999999999997,6.4500000000000455,6.420000000000016,7.241000000000042,6.430000000000007,6.691000000000031,8.0,6.410000000000025,6.0,7.0,6.439999999999998,7.691000000000031,7.290999999999997
2017-11-26 18:09:58,8.0,10.0,9.540999999999997,7.566000000000031,10.415999999999997,9.0,8.0,8.0,10.0,7.0,10.0,6.691000000000031,8.0,7.290999999999997,7.0,7.0,7.241000000000042,7.0,6.691000000000031,8.0,7.0,7.0,7.0,7.0,7.691000000000031,7.290999999999997
2017-11-27 00:00:20,9.0,9.0,8.635000000000048,8.510000000000048,10.985000000000014,9.0,7.235000000000014,7.385000000000048,9.0,9.0,9.0,8.635000000000048,7.710000000000036,7.260000000000048,9.0,9.0,7.310000000000002,9.0,8.635000000000048,7.385000000000048,9.0,9.0,9.0,9.0,7.235000000000014,7.260000000000048
2017-11-27 01:00:35,10.0,9.0,8.635000000000048,8.510000000000048,10.985000000000014,9.5,7.235000000000014,7.385000000000048,9.0,9.0,9.0,8.635000000000048,7.710000000000036,7.260000000000048,8.470000000000027,8.510000000000048,7.310000000000002,8.480000000000018,8.635000000000048,7.385000000000048,8.53000000000003,9.0,8.0,8.470000000000027,7.235000000000014,7.260000000000048
2017-11-27 02:00:51,10.0,9.0,8.295000000000016,7.145000000000039,11.145000000000039,9.5,6.9950000000000045,7.045000000000016,9.0,8.0,9.0,6.895000000000039,7.395000000000039,6.895000000000039,8.0,8.0,7.07000000000005,8.0,6.895000000000039,7.045000000000016,8.0,8.0,8.0,8.0,6.9950000000000045,6.895000000000039
2017-11-27 03:01:20,9.0,9.0,8.295000000000016,7.145000000000039,11.145000000000039,9.0,6.9950000000000045,7.045000000000016,9.0,8.0,9.0,6.895000000000039,7.395000000000039,6.895000000000039,8.0,8.0,7.07000000000005,8.0,6.895000000000039,7.045000000000016,8.0,8.0,8.0,8.0,6.9950000000000045,6.895000000000039
2017-11-27 04:01:36,9.0,9.0,8.295000000000016,7.145000000000039,11.145000000000039,9.0,6.9950000000000045,7.045000000000016,9.0,8.0,9.0,6.895000000000039,7.395000000000039,6.895000000000039,8.0,8.0,7.07000000000005,8.0,6.895000000000039,7.045000000000016,8.0,8.0,8.0,8.0,6.9950000000000045,6.895000000000039
2017-11-27 05:02:00,8.0,9.0,8.25200000000001,7.2520000000000095,10.12700000000001,8.5,6.727000000000032,6.852000000000032,9.0,7.0,9.0,7.102000000000032,7.2520000000000095,6.602000000000032,7.0,7.0,6.977000000000032,7.0,7.102000000000032,6.852000000000032,7.0,7.0,7.0,7.0,6.727000000000032,6.602000000000032
2017-11-27 06:02:23,8.0,8.0,8.25200000000001,7.2520000000000095,10.12700000000001,8.0,5.0,5.0,8.0,7.0,8.0,7.102000000000032,5.0,6.602000000000032,7.0,7.0,6.977000000000032,7.0,7.102000000000032,5.0,7.0,7.0,7.0,7.0,6.727000000000032,6.602000000000032
2017-11-27 07:02:38,8.0,8.0,8.25200000000001,7.2520000000000095,10.12700000000001,8.0,5.0,5.0,8.0,6.0,8.0,7.102000000000032,5.0,6.602000000000032,6.0,6.0,6.977000000000032,6.0,7.102000000000032,5.0,6.0,6.0,6.0,6.0,6.727000000000032,6.602000000000032
2017-11-27 08:02:57,7.0,8.0,8.258000000000038,6.93300000000005,9.408000000000015,7.5,5.0,5.0,8.0,6.0,8.0,6.80800000000005,5.0,6.508000000000038,6.0,6.0,6.883000000000038,6.0,6.80800000000005,5.0,6.0,6.0,6.0,6.0,6.633000000000038,6.508000000000038
2017-11-27 12:26:05,8.0,8.0,7.987000000000023,6.812000000000012,9.612000000000023,8.0,5.0,5.0,8.0,7.0,8.0,7.062000000000012,5.0,6.2620000000000005,7.0,7.0,6.737000000000023,7.0,7.062000000000012,5.0,7.0,7.0,7.0,7.0,6.412000000000035,6.2620000000000005
2017-11-27 13:26:10,8.0,8.0,7.987000000000023,6.812000000000012,9.612000000000023,8.0,5.0,5.0,8.0,7.0,8.0,7.062000000000012,5.0,6.2620000000000005,7.0,7.0,6.737000000000023,7.0,7.062000000000012,5.0,7.0,7.0,7.0,7.0,6.412000000000035,6.2620000000000005
